Plot,Tag,Family,Species,Month,year,CollectionNumber,CollectorString,sterile_collection,tropicos_species
TAM_04,193,Chrysobalanaceae,Licania heteromorpha,9,2003,5882,Abel Monteagudo,1,Licania heteromorpha
TAM_04,203,Moraceae,Brosimum guianense,5,1987,58004,Alwyn H. Gentry,1,Brosimum guianense
TAM_04,236,Moraceae,Pseudolmedia laevigata,5,1987,57915,Alwyn H. Gentry,1,Pseudolmedia laevigata
TAM_04,242,Lauraceae,Ocotea bofo,5,1987,57914,Alwyn H. Gentry,1,Ocotea bofo
TAM_04,247.1,Myristicaceae,Iryanthera juruensis,10,2017,29911,Abel Monteagudo,1,Iryanthera juruensis
TAM_04,256,Myristicaceae,Iryanthera laevis,5,1987,57993,Alwyn H. Gentry,0,Iryanthera laevis
TAM_04,258,Moraceae,Pseudolmedia macrophylla,5,1987,57940,Alwyn H. Gentry,1,Pseudolmedia macrophylla
TAM_04,272,Sabiaceae,Meliosma herbertii,9,2003,5829,Abel Monteagudo,0,Meliosma herbertii
TAM_04,272,Sabiaceae,Meliosma herbertii,5,1987,57921,Alwyn H. Gentry,0,Meliosma herbertii
TAM_04,279,Moraceae,Brosimum lactescens,5,1987,57932,Alwyn H. Gentry,1,Brosimum lactescens
TAM_04,319,Fabaceae,Diplotropis purpurea,5,1987,57981,Alwyn H. Gentry,1,Diplotropis purpurea
TAM_04,360,Moraceae,Brosimum lactescens,7,1985,51473,Alwyn H. Gentry,1,Brosimum lactescens
TAM_04,445,Moraceae,Brosimum lactescens,7,1985,51553,Alwyn H. Gentry,1,Brosimum lactescens
TAM_04,452,Lauraceae,Ocotea bofo,5,1987,57947,Alwyn H. Gentry,1,Ocotea bofo
TAM_04,641,Sapotaceae,Micropholis guyanensis,7,1985,51545,Alwyn H. Gentry,0,Micropholis guyanensis
TAM_04,658,Moraceae,Pseudolmedia macrophylla,7,1985,51478,Alwyn H. Gentry,1,Pseudolmedia macrophylla
TAM_04,642A,Malvaceae,Matisia ochrocalyx,10,2017,29904,Abel Monteagudo,1,Matisia ochrocalyx
TAM_05,2,Lauraceae,Ocotea bofo,2,1984,45914,Alwyn H. Gentry,0,Ocotea rhodophylla
TAM_05,33,Siparunaceae,Siparuna decipiens,8,2014,26648,Abel Monteagudo,1,Siparuna decipiens
TAM_05,35,Moraceae,Helicostylis tomentosa,2,1984,45941,Alwyn H. Gentry,1,Helicostylis tomentosa
TAM_05,36,Burseraceae,Protium stevensonii,2,1984,45950,Alwyn H. Gentry,1,Tetragastris panamensis
TAM_05,40,Chrysobalanaceae,Licania heteromorpha,2,1984,45951,Alwyn H. Gentry,1,Licania heteromorpha
TAM_05,43,Sapotaceae,Pouteria torta,9,2003,5948,Abel Monteagudo,1,Pouteria torta
TAM_05,43,Sapotaceae,Pouteria torta,2,1984,45946,Alwyn H. Gentry,1,Pouteria torta
TAM_05,55,Moraceae,Helicostylis tomentosa,2,1984,45960,Alwyn H. Gentry,1,Helicostylis tomentosa
TAM_05,56,Burseraceae,Protium stevensonii,2,1984,45963,Alwyn H. Gentry,1,Tetragastris panamensis
TAM_05,63,Rubiaceae,Amaioua guianensis,2,1984,46018,Alwyn H. Gentry,1,Amaioua guianensis
TAM_05,80,Linaceae,Hebepetalum humiriifolium,2,1984,45968,Alwyn H. Gentry,1,Hebepetalum humiriifolium
TAM_05,83,Lecythidaceae,Eschweilera coriacea,2,1984,45971,Alwyn H. Gentry,1,Eschweilera coriacea
TAM_05,100.1,Chrysobalanaceae,Licania heteromorpha,9,2003,5974,Abel Monteagudo,1,Licania heteromorpha
TAM_05,112,Myristicaceae,Iryanthera juruensis,2,1984,45999,Alwyn H. Gentry,1,Iryanthera juruensis
TAM_05,164,Burseraceae,Protium stevensonii,2,1984,46048,Alwyn H. Gentry,1,Tetragastris panamensis
TAM_05,176,Moraceae,Clarisia racemosa,2,1984,46039,Alwyn H. Gentry,1,Clarisia racemosa
TAM_05,204,Burseraceae,Protium stevensonii,2,1984,46107,Alwyn H. Gentry,1,Tetragastris panamensis
TAM_05,212,Fabaceae,Pterocarpus indet,2,1984,46117,Alwyn H. Gentry,1,Pterocarpus indet
TAM_05,214,Burseraceae,Protium stevensonii,2,1984,46140,Alwyn H. Gentry,1,Tetragastris panamensis
TAM_05,218,Nyctaginaceae,Neea divaricata,2,1984,46141,Alwyn H. Gentry,1,Neea divaricata
TAM_05,218.1,Lauraceae,Ocotea bofo,8,2014,26634,Abel Monteagudo,1,Ocotea bofo
TAM_05,218.3,Sapotaceae,Sarcaulus brasiliensis,10,2017,29794,Abel Monteagudo,1,Sarcaulus brasiliensis
TAM_05,223,Lauraceae,Ocotea bofo,2,1984,46125,Alwyn H. Gentry,1,Ocotea bofo
TAM_05,229.2,Calophyllaceae,Calophyllum brasiliense,8,2014,26638,Abel Monteagudo,1,Calophyllum brasiliense
TAM_05,250,Lecythidaceae,Eschweilera coriacea,2,1984,46100,Alwyn H. Gentry,1,Eschweilera coriacea
TAM_05,252,Lauraceae,Nectandra viburnoides,2,1984,46081,Alwyn H. Gentry,1,Nectandra viburnoides
TAM_05,252,Lauraceae,Nectandra viburnoides,6,1986,54178,Alwyn H. Gentry,1,Nectandra cissiflora
TAM_05,261,Lauraceae,Ocotea bofo,2,1984,46085,Alwyn H. Gentry,1,Ocotea bofo
TAM_05,261,Lauraceae,Ocotea bofo,5,1987,57634,Alwyn H. Gentry,1,Ocotea bofo
TAM_05,266,Lecythidaceae,Eschweilera coriacea,2,1984,46049,Alwyn H. Gentry,1,Eschweilera coriacea
TAM_05,276,Lauraceae,Ocotea bofo,2,1984,46065,Alwyn H. Gentry,1,Ocotea bofo
TAM_05,278,Chrysobalanaceae,Licania heteromorpha,2,1984,46098,Alwyn H. Gentry,1,Licania heteromorpha
TAM_05,281,Sapotaceae,Micropholis guyanensis,2,1984,46084,Alwyn H. Gentry,1,Micropholis guyanensis
TAM_05,295,Moraceae,Pseudolmedia laevigata,2,1984,46097,Alwyn H. Gentry,1,Pseudolmedia laevigata
TAM_05,296,Moraceae,Pseudolmedia laevigata,2,1984,46066,Alwyn H. Gentry,1,Pseudolmedia laevigata
TAM_05,300,Moraceae,Pseudolmedia laevigata,2,1984,46067,Alwyn H. Gentry,1,Pseudolmedia laevigata
TAM_05,300,Moraceae,Pseudolmedia laevigata,2,1984,46067,Alwyn H. Gentry,1,Pseudolmedia laevigata
TAM_05,338,Sabiaceae,Meliosma herbertii,6,1986,54175,Alwyn H. Gentry,0,Meliosma herbertii
TAM_05,355,Chrysobalanaceae,Licania heteromorpha,2,1984,46225,Alwyn H. Gentry,1,Licania heteromorpha
TAM_05,388,Sapotaceae,Pouteria torta,2,1984,46171,Alwyn H. Gentry,1,Pouteria torta
TAM_05,409,Moraceae,Brosimum guianense,2,1984,46230,Alwyn H. Gentry,1,Brosimum guianense
TAM_05,411.1,Burseraceae,Protium stevensonii,8,2014,26627,Abel Monteagudo,1,Protium stevensonii
