"","Year","month","temp","cloud_cover","vapor_pressure","precip","tmin","tmax","ET","evap_day","evap","wd","sat_vp","RH"
"212",2000,8,25.4,48.775,2.3325,55.475,18.875,31.975,3.925,4.68531164168477,145.244660892228,89.7696608922279,3.30993741632221,70.4696103466428
"213",2000,9,25.975,56.05,2.295,79.55,19.575,32.425,4.325,4.2003812683786,126.011438051358,46.4614380513579,3.42755198467444,66.9574089688968
"214",2000,10,26.475,74.2,2.5775,166.35,20.8,32.2,3.875,2.63002042762054,81.5306332562367,0,3.53283260780448,72.9584524980315
"215",2000,11,27.55,71.925,2.7475,355.625,22.475,32.7,4.075,2.83697620691113,85.109286207334,0,3.76898119185921,72.8976840196086
"216",2000,12,26.525,69.67501,2.8175,234.55,21.85,31.3,3.8,2.84191527309794,88.0993734660361,0,3.54351723802879,79.5113953380211
"217",2001,1,26.65,76.2,2.83,404.925,22.175,31.175,3.65,2.31862827443314,71.8774765074275,0,3.57035466889915,79.2638340569278
"218",2001,2,26.75,80.55,2.835,334.425,22.2,31.375,3.425,1.98330904018322,55.5326531251302,0,3.59195461899708,78.9263869038404
"219",2001,3,26.425,74.825,2.7675,312.55,21.775,31.15,3.425,2.44134724909309,75.6817647218859,0,3.52217664405788,78.5735719606493
"220",2001,4,26.275,63.125,2.655,118.95,21.3,31.275,3.475,3.42293220606679,102.687966182004,0,3.49038008445731,76.066214445319
"221",2001,5,24.1,55.8,2.3475,95.15001,18.85,29.375,3.1,3.87699904567208,120.186970415834,25.0369604158345,3.05716648685081,76.7867896660793
"222",2001,6,22.9,46.375,2.205,35.65,17,28.825,2.975,4.53324375866743,135.997312760023,100.347312760023,2.83924824824768,77.6614021461801
"223",2001,7,24.05,50.625,2.205,40.25,17.675,30.475,3.275,4.40708899794167,136.619758936192,96.3697589361917,3.04779753102603,72.3473254884387
"224",2001,8,25.05,28.65,2.2325,36.575,18.025,32.175,4.424999,6.31540571773888,195.777577249905,159.202577249905,3.24011724789073,68.901827594459
"225",2001,9,26.175,55.45,2.2925,83.05,19.775,32.625,4.4,4.27665346354472,128.299603906342,45.2496039063416,3.46932448946728,66.0791461553952
"226",2001,10,27.25,59.6,2.6825,130.3,21.575,32.95,4.4,3.84990437286947,119.347035558954,0,3.70170740416279,72.4665595390756
"227",2001,11,26.775,62.975,2.7175,193.65,21.95,31.625,4.175,3.46387219030333,103.9161657091,0,3.59737273300979,75.5412408356797
"228",2001,12,26.475,73.3,2.7975,203.4,21.975,31.05,3.7,2.54887777612345,79.015211059827,0,3.53283260780448,79.1857500924318
"229",2002,1,27.075,69.34999,2.87,280.875,22.575,31.65,3.95,2.90426796677768,90.0323069701082,0,3.66295939002137,78.3519470027008
"230",2002,2,26.45,77.275,2.83,319.9,21.975,30.975,3.45,2.20814333449506,61.8280133658616,0,3.52750104679873,80.2267657033942
"231",2002,3,27,66.875,2.8275,265.625,22.325,31.725,3.7,3.11950719587746,96.7047230722012,0,3.646463812692,77.540876455664
"232",2002,4,26.8,63.7,2.675,151.975,21.7,31.925,3.575,3.44089215193224,103.226764557967,0,3.60279811450664,74.2478461179695
"233",2002,5,25.1,48.825,2.505,123.225,19.8,30.45,3.3,4.48365045566109,138.993164125494,15.7681641254939,3.25001061026615,77.0766714449236
"234",2002,6,23.275,40.1,2.3,35.575,17.675,28.925,3.05,5.00242066595616,150.072619978685,114.497619978685,2.90581166230931,79.1517230738946
"235",2002,7,24.1,47.72501,2.1625,43.45,17.925,30.35,3.4,4.65704841696156,144.368500925808,100.918500925808,3.05716648685081,70.735434569924
"236",2002,8,24.85,37.425,2.28,52.375,18.2,31.525,4.099999,5.53189165297006,171.488641242072,119.113641242072,3.20081130034727,71.2319404693627
"237",2002,9,25.65,47.95,2.2725,71.75,19.225,32.15,4.5,4.81739040903697,144.521712271109,72.771712271109,3.36062546245471,67.6213408899215
"238",2002,10,27.05,56.225,2.6725,203.75,21.45,32.725,4.45,4.10269139281861,127.183433177377,0,3.65745350610824,73.0699650873677
"239",2002,11,27,64.225,2.7225,158.8,21.625,32.425,4.25,3.41223771898476,102.367131569543,0,3.646463812692,74.6613744122176
"240",2002,12,27.05,77.55001,2.825,251.35,22.4,31.8,3.7,2.27012399668213,70.3738438971461,0,3.65745350610824,77.2395327864598
"241",2003,1,27.425,71.2,2.9075,272.625,22.925,31.975,3.95,2.77832494913911,86.1280734233124,0,3.7408194709366,77.7236117003006
"242",2003,2,26.9,77.275,2.845,274.8,22.35,31.5,3.575,2.2570612291848,63.1977144171745,0,3.62457248463446,78.4920155979972
"243",2003,3,26.55,73.2,2.8275,289.975,22.1,31.05,3.425,2.54681241651074,78.9511849118328,0,3.54887032397685,79.6732408309445
